Unnamed: 0,ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_9,BP1_10_1,BP1_10_2,BP1_10_9,BP1_11,BP1_12_1,BP1_12_2,BP1_12_3,BP1_12_4,BP1_12_5,BP1_12_9,BP1_13,BP1_14_1,BP1_14_2,BP1_14_3,BP1_14_4,BP1_14_9,BP1_15,BP1_16_1,BP1_16_2,BP1_16_3,BP1_16_4,BP1_16_9,BP1_17,BP1_18,BP1_19_1,BP1_19_2,BP1_19_3,BP1_19_4,BP1_19_5,BP1_19_6,BP1_19_7,BP1_19_8,BP1_20,BP1_21,BP1_22,BP1_23,BP1_24,BP1_25,BP1_26,BP1_27,BP1_28,BP1_29,BP1_30,BP1_31_01,BP1_31_02,BP1_31_03,BP1_31_04,BP1_31_05,BP1_31_06,BP1_31_07,BP1_31_08,BP1_31_99,BP1_32_1,BP1_32_2,BP1_32_3,BP1_32_4,BP1_32_5,BP1_32_9,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,BP2_1,BP3_1_01,BP3_1_02,BP3_1_03,BP3_1_04,BP3_1_05,BP3_1_06,BP3_1_07,BP3_1_08,BP3_1_09,BP3_1_10,BP3_1_11,BP3_1_12,BP3_1_99,BP3_2,BP4_1,BP5_1,BP5_2_1,BP5_2_2,BP5_2_3,BP5_2_4,BP5_3,BP6_1,BP6_2,BP6_3,BP7_1,FAC_DEL,FAC_DEL_AM,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,ANIO_ESTADISTICO,BP1_5A_1,BP1_5A_2,BP1_5A_3,BP1_5A_4,BP1_5A_9,BP5_1A_1,BP5_1A_2,BP5_1A_3,BP5_1A_4
8665,1700793.01,1700793.01.01,1700793.01.01.01,1700793.01.01.01.05.1,1700793,1,1,1,1,5,1,A,1,22,29.0,10,17,7,3,1,1.0,1.0,2.0,4.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,1.0,,,,,,,2,,,,,,,,,,,,,,,,1,4500.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,190,190.0,U,2,302,7269,2021,,,,,,,,,
8666,1703362.02,1703362.02.01,1703362.02.01.03,1703362.02.01.03.05.1,1703362,2,1,1,1,5,3,A,1,47,29.0,10,17,7,2,6,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,,,2,,,7.0,,,,,,,2,,,,,,,,,,,,,,,,1,400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,454,454.0,U,2,308,7529,2021,,,,,,,,,
8667,1701017.03,1701017.03.01,1701017.03.01.01,1701017.03.01.01.05.1,1701017,3,1,1,1,5,1,A,2,83,29.0,5,17,7,2,4,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,2.0,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,5,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,160,160.0,U,2,302,7297,2021,,,,,,,,,
8668,1701222.03,1701222.03.01,1701222.03.01.04,1701222.03.01.04.03.1,1701222,3,1,1,2,3,4,A,1,30,29.0,11,17,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,3.0,,,,,,,2,,,,,,,,,,,,,,,,1,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148.0,U,3,303,7324,2021,,,,,,,,,
8669,1760047.1,1760047.10.01,1760047.10.01.02,1760047.10.01.02.05.1,1760047,10,1,1,1,5,2,A,1,18,29.0,4,17,7,2,5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,1000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,875,875.0,R,2,320,7546,2021,,,,,,,,,
8670,1700993.04,1700993.04.01,1700993.04.01.02,1700993.04.01.02.04.2,1700993,4,1,2,3,4,2,A,2,40,29.0,11,17,7,2,2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,9.0,,,3.0,2.0,4.0,2,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1,50000.0,9999999.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,290,290.0,U,4,304,7296,2021,,,,,,,,,
8671,1760047.1,1760047.10.01,1760047.10.01.02,1760047.10.01.02.04.2,1760047,10,1,2,2,4,2,A,1,18,29.0,6,17,7,4,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,,4.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,438,438.0,R,2,320,7546,2021,,,,,,,,,
8672,1700993.04,1700993.04.01,1700993.04.01.02,1700993.04.01.02.05.2,1700993,4,1,2,3,5,2,A,2,40,29.0,9,17,7,2,1,1.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,1.0,6.0,,4.0,2.0,4.0,2,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1,20000.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,870,870.0,U,4,304,7296,2021,,,,,,,,,
8673,1702409.01,1702409.01.01,1702409.01.01.05,1702409.01.01.05.13.1,1702409,1,1,1,3,13,5,A,2,20,29.0,1,17,7,3,6,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,2.0,,,,,,,,,2,,,7.0,,,,,,,2,,,,,,,,,,,,,,,,3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,894,894.0,U,2,305,7461,2021,,,,,,,,,
8674,1700993.04,1700993.04.01,1700993.04.01.02,1700993.04.01.02.05.1,1700993,4,1,1,3,5,2,A,2,40,29.0,7,17,7,1,1,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,2.0,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,3,20000.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,870,870.0,U,4,304,7296,2021,,,,,,,,,
